0.011,0.002,0.011,0.004,0.002,0.001,0.002,0.001,0.002,0.002
0.013,0.011,0.009,0.013,0.013,0.014,0.009,0.01,0.013,0.012
0.033,0.041,0.046,0.03,0.045,0.047,0.038,0.049,0.037,0.031
0.174,0.184,0.182,0.222,0.15,0.153,0.146,0.154,0.177,0.184
0.523,0.54,0.521,1.027,0.587,0.505,0.523,0.495,0.498,0.513
0.995,0.861,0.883,0.844,0.907,0.892,0.817,0.911,0.786,0.894
1.275,1.295,1.284,1.321,1.35,2.536,1.575,1.371,1.707,1.289
